bAllTiles,64,128,32,96,32,32,0
bAllTiles,224,128,32,96,32,32,0
bAllTiles,64,416,32,96,32,32,0
bAllTiles,224,416,32,96,32,32,0
bAllTiles,704,128,32,96,32,32,0
bAllTiles,704,416,32,96,32,32,0
bAllTiles,544,416,32,96,32,32,0
bAllTiles,544,128,32,96,32,32,0
bAllTiles,96,128,0,96,32,32,0
bAllTiles,128,128,0,96,32,32,0
bAllTiles,160,128,0,96,32,32,0
bAllTiles,192,128,0,96,32,32,0
bAllTiles,96,416,0,96,32,32,0
bAllTiles,128,416,0,96,32,32,0
bAllTiles,160,416,0,96,32,32,0
bAllTiles,192,416,0,96,32,32,0
bAllTiles,576,416,0,96,32,32,0
bAllTiles,608,416,0,96,32,32,0
bAllTiles,640,416,0,96,32,32,0
bAllTiles,672,416,0,96,32,32,0
bAllTiles,576,128,0,96,32,32,0
bAllTiles,608,128,0,96,32,32,0
bAllTiles,640,128,0,96,32,32,0
bAllTiles,672,128,0,96,32,32,0
bAllTiles,304,128,32,96,32,32,0
bAllTiles,464,128,32,96,32,32,0
bAllTiles,464,416,32,96,32,32,0
bAllTiles,304,416,32,96,32,32,0
bAllTiles,64,160,32,64,32,32,0
bAllTiles,64,192,32,64,32,32,0
bAllTiles,64,224,32,64,32,32,0
bAllTiles,64,256,32,64,32,32,0
bAllTiles,64,288,32,64,32,32,0
bAllTiles,64,320,32,64,32,32,0
bAllTiles,64,352,32,64,32,32,0
bAllTiles,64,384,32,64,32,32,0
bAllTiles,224,160,32,64,32,32,0
bAllTiles,224,192,32,64,32,32,0
bAllTiles,224,224,32,64,32,32,0
bAllTiles,224,256,32,64,32,32,0
bAllTiles,224,288,32,64,32,32,0
bAllTiles,224,320,32,64,32,32,0
bAllTiles,224,352,32,64,32,32,0
bAllTiles,224,384,32,64,32,32,0
bAllTiles,544,160,32,64,32,32,0
bAllTiles,544,192,32,64,32,32,0
bAllTiles,544,224,32,64,32,32,0
bAllTiles,544,256,32,64,32,32,0
bAllTiles,544,288,32,64,32,32,0
bAllTiles,544,320,32,64,32,32,0
bAllTiles,544,352,32,64,32,32,0
bAllTiles,544,384,32,64,32,32,0
bAllTiles,704,160,32,64,32,32,0
bAllTiles,704,192,32,64,32,32,0
bAllTiles,704,224,32,64,32,32,0
bAllTiles,704,256,32,64,32,32,0
bAllTiles,704,288,32,64,32,32,0
bAllTiles,704,320,32,64,32,32,0
bAllTiles,704,352,32,64,32,32,0
bAllTiles,704,384,32,64,32,32,0
bAllTiles,304,160,32,64,32,32,0
bAllTiles,304,192,32,64,32,32,0
bAllTiles,304,256,32,64,32,32,0
bAllTiles,304,224,32,64,32,32,0
bAllTiles,304,288,32,64,32,32,0
bAllTiles,304,320,32,64,32,32,0
bAllTiles,304,352,32,64,32,32,0
bAllTiles,304,384,32,64,32,32,0
bAllTiles,464,160,32,64,32,32,0
bAllTiles,464,192,32,64,32,32,0
bAllTiles,464,224,32,64,32,32,0
bAllTiles,464,288,32,64,32,32,0
bAllTiles,464,320,32,64,32,32,0
bAllTiles,464,352,32,64,32,32,0
bAllTiles,464,384,32,64,32,32,0
bAllTiles,464,256,32,64,32,32,0
bAllTiles,336,128,0,96,32,32,0
bAllTiles,368,128,0,96,32,32,0
bAllTiles,400,128,0,96,32,32,0
bAllTiles,432,128,0,96,32,32,0
bAllTiles,336,416,0,96,32,32,0
bAllTiles,368,416,0,96,32,32,0
bAllTiles,400,416,0,96,32,32,0
bAllTiles,432,416,0,96,32,32,0
bAllTiles,0,0,32,0,32,32,0
bAllTiles,32,0,32,0,32,32,0
