objBlock,0,0,3F6B08E0,0,1,1,4294967295,0
objBlock,0,32,F3CCAAE5,0,1,1,4294967295,0
objBlock,768,32,F3CCAAE5,0,1,1,4294967295,0
objBlock,0,576,3F6B08E0,0,1,1,4294967295,0
objBlock,96,352,,0,1,1,4294967295,0
objBlock,192,352,,0,1,1,4294967295,0
objMiniBlock,192,336,,0,1,1,4294967295,0
objBlock,96,384,,0,1,1,4294967295,0
objBlock,96,416,,0,1,1,4294967295,0
objBlock,32,128,,0,1,1,4294967295,0
objBlock,64,128,,0,1,1,4294967295,0
objBlock,96,128,,0,1,1,4294967295,0
objBlock,128,32,,0,1,1,4294967295,0
objBlock,128,64,,0,1,1,4294967295,0
objBlock,128,96,,0,1,1,4294967295,0
objBlock,128,128,,0,1,1,4294967295,0
objBlock,256,352,,0,1,1,4294967295,0
objBlock,352,352,,0,1,1,4294967295,0
objBlock,352,320,,0,1,1,4294967295,0
objBlock,608,160,,0,1,1,4294967295,0
objBlock,608,192,,0,1,1,4294967295,0
objBlock,672,160,,0,1,1,4294967295,0
objBlock,672,192,,0,1,1,4294967295,0
objBlock,704,288,,0,1,1,4294967295,0
objBlock,608,256,,0,1,1,4294967295,0
objBlock,608,224,,0,1,1,4294967295,0
objBlock,608,288,,0,1,1,4294967295,0
objBlock,384,320,,0,1,1,4294967295,0
objBlock,736,288,,0,1,1,4294967295,0
objBlock,512,320,,0,1,1,4294967295,0
objBlock,608,320,,0,1,1,4294967295,0
objBlock,576,320,,0,1,1,4294967295,0
objBlock,576,288,,0,1,1,4294967295,0
objBlock,704,448,,0,1,1,4294967295,0
objBlock,672,448,,0,1,1,4294967295,0
objBlock,640,448,,0,1,1,4294967295,0
objBlock,608,448,,0,1,1,4294967295,0
objBlock,576,448,,0,1,1,4294967295,0
objBlock,480,448,,0,1,1,4294967295,0
objBlock,416,480,,0,1,1,4294967295,0
objBlock,576,416,,0,1,1,4294967295,0
objBlock,352,384,,0,1,1,4294967295,0
objBlock,704,256,,0,1,1,4294967295,0
objWater2,128,352,,0,1,1,4294967295,0
objWater2,160,352,,0,1,1,4294967295,0
objWater0,192,416,,0,1,1,4294967295,0
objWater0,192,448,,0,1,1,4294967295,0
objWater0,192,480,,0,1,1,4294967295,0
objWater0,192,512,,0,1,1,4294967295,0
objWater0,192,544,,0,1,1,4294967295,0
objWater0,192,384,,0,1,1,4294967295,0
objWater3,544,320,,0,1,1,4294967295,0
objWater1,736,160,,0,1,1,4294967295,0
objSpikeUp,96,320,,0,1,1,4294967295,0
objSpikeLeft,64,352,,0,1,1,4294967295,0
objSpikeDown,96,448,,0,1,1,4294967295,0
objSpikeRight,128,352,,0,1,1,4294967295,0
objMiniUp,192,320,,0,1,1,4294967295,0
objMiniRight,208,336,,0,1,1,4294967295,0
objMiniLeft,176,336,,0,1,1,4294967295,0
objMiniDown,296,352,,0,1,1,4294967295,0
objSpikeRight,320,224,,0,1,1,4294967295,0
objSpikeUp,352,288,,0,1,1,4294967295,0
objSpikeUp,608,128,,0,1,1,4294967295,0
objSpikeUp,672,128,,0,1,1,4294967295,0
objSpikeDown,480,480,,0,1,1,4294967295,0
objSpikeLeft,576,160,,0,1,1,4294967295,0
objSpikeRight,704,160,,0,1,1,4294967295,0
objSign,96,544,8FDD10B5,0,1,1,4294967295,0
objSpikeUp,704,224,,0,1,1,4294967295,0
objSpikeLeft,640,288,,0,1,1,4294967295,0
objSpikeUp,736,256,,0,1,1,4294967295,0
